"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"763",0,26,3,0,1,"Standard GOP Exceptions","Yes to Both",4,0,0,1,0,2,12,1,1,0,0,NA,0,1,0,0,0,1,"Roman Catholic Church",0,0.416145171183118,2,3,1,11,0
"765",0,29,3,0,1,"Never Permit","No to Both",2,1,0,1,0,3,1,0,0,0,0,6,0,0,1,1,0,0,"Evangelical Protestant - Ambiguous",0,0.559686637789452,2,1,2,1,1
"767",0,31,2,0,5,"Never Permit","No to Both",3,1,0,1,1,4,NA,0,0,0,0,6,1,0,1,1,1,0,"Evangelical Protestant - Ambiguous",0,2.11774684706743,1,2,2,NA,1
"771",1,56,3,1,2,"Always Permit","Yes to Both",2,1,1,1,1,3,8,1,1,1,0,0,5,0,0,0,1,1,"Evangelical Protestant",1,0.636514979596109,2,1,2,8,0
"772",1,23,2,0,2,"Always Permit","Yes to Both",2,0,1,1,0,1,1,1,1,1,0,0,3,1,0,0,0,1,"Roman Catholic Church",0,2.56068080512721,1,1,0,1,0
"775",0,60,2,0,4,"Never Permit","No to Both",1,1,0,1,1,3,NA,0,0,1,0,5,3,0,1,1,0,0,"Evangelical Protestant - Ambiguous",1,0.575345294277383,1,0,2,NA,1
"777",1,49,NA,0,1,"Not Available","Not Available",1,0,0,1,1,NA,5,NA,NA,0,0,NA,2,1,NA,NA,0,1,"Roman Catholic Church",0,0.266201647883525,NA,0,NA,5,0
"778",1,57,1,0,2,"Always Permit","Yes to Both",0,0,0,1,0,NA,5,1,1,1,0,0,2,1,0,0,0,1,"Roman Catholic Church",0,1.15812835250008,0,0,NA,5,0
"780",0,25,3,0,4,"Establish Need","Yes to Civil Unions",5,1,0,1,0,3,NA,1,1,0,0,4,1,0,0,0,0,0,"Evangelical Protestant - Ambiguous",1,0.727025594114209,2,4,2,NA,1
"781",1,48,NA,1,4,"Not Available","Not Available",4,1,1,1,1,2,8,NA,NA,1,0,0,4,0,NA,NA,2,1,"Evangelical Protestant",0,0.243973786654501,NA,3,1,8,0
"782",0,31,0,0,2,"Never Permit","No to Both",1,1,1,1,1,3,3,0,0,1,0,5,4,0,1,1,2,0,"Evangelical Protestant - Ambiguous",1,1.20049055678617,0,0,2,3,1
"783",1,28,2,0,2,"Establish Need","Yes to Both",3,0,1,1,0,2,6,1,1,1,0,1,3,1,0,0,0,1,"Roman Catholic Church",0,1.27908861018177,1,2,1,6,0
"784",1,57,3,0,1,"Establish Need","Yes to Both",1,0,1,1,1,0,4,1,1,1,0,1,NA,1,0,0,2,0,"Roman Catholic Church",NA,0.723134854920252,2,0,0,4,0
"786",0,64,3,0,1,"Standard GOP Exceptions","No to Both",1,1,0,1,0,3,4,0,0,0,0,6,0,0,1,1,1,0,"Evangelical Protestant",0,1.31062014414134,2,0,2,4,0
"787",0,27,3,0,5,"Never Permit","No to Both",2,1,0,1,1,3,5,0,0,0,0,6,1,0,1,1,0,0,"Evangelical Protestant",0,1.60856880697482,2,1,2,5,0
"789",1,75,3,0,1,"Never Permit","DK",1,0,1,1,1,1,NA,0,0,1,0,0,4,1,1,0,0,1,"Roman Catholic Church",0,0.910355324644173,2,0,0,NA,0
"790",0,30,2,0,4,"Never Permit","No to Both",4,0,0,1,1,3,7,0,0,0,0,6,1,1,1,1,0,0,"Roman Catholic Church",0,2.50048420718875,1,3,2,7,0
"791",1,78,2,0,5,"DK","Yes to Both",1,0,0,1,0,3,4,0,1,1,0,6,3,1,0,0,2,1,"Roman Catholic Church",1,1.48297834819754,1,0,2,4,0
"792",0,72,3,0,5,"Standard GOP Exceptions","No to Both",1,1,0,1,0,4,3,0,0,0,0,6,0,0,1,1,2,0,"Evangelical Protestant",0,0.943361944168696,2,0,2,3,0
"793",1,47,2,1,3,"Always Permit","Yes to Civil Unions",1,1,1,0,0,3,1,1,1,1,0,0,3,0,0,0,0,1,"Evangelical Protestant",0,7.00023841334301,1,0,2,1,0
"797",1,29,1,0,1,"Never Permit","No to Both",5,0,0,1,1,1,10,0,0,0,0,1,2,1,1,1,2,1,"Roman Catholic Church",0,0.271231634740092,0,4,0,10,0
"798",1,68,3,0,5,"Establish Need","No to Both",1,1,1,1,1,2,3,1,0,0,0,6,3,0,0,1,1,0,"Evangelical Protestant",0,1.44627699847374,2,0,1,3,0
"799",1,48,2,0,2,"Always Permit","Yes to Both",2,0,1,1,0,NA,3,1,1,1,0,NA,4,1,0,0,0,1,"Roman Catholic Church",1,1.50572946501201,1,1,NA,3,0
"800",1,77,2,0,1,"Standard GOP Exceptions","No to Both",1,0,1,0,1,2,3,1,1,1,1,1,4,0,0,0,0,1,"Mainline Protestant",0,0.767832890414651,1,0,1,3,0
"801",0,31,NA,1,5,"Not Available","Not Available",3,0,0,1,1,4,NA,NA,NA,0,1,0,2,0,NA,NA,1,0,"Mainline Protestant - Ambiguous",1,0.192757555681459,NA,2,2,NA,1
"803",1,69,2,0,4,"DK","DK",1,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,"Evangelical Protestant",0,1.29877483357234,1,0,1,1,0
"804",1,73,2,0,1,"Always Permit","Yes to Both",1,0,1,1,1,1,NA,0,0,1,1,0,5,0,1,1,1,1,"Mainline Protestant",1,1.0143564734857,1,0,0,NA,0
"805",1,72,0,0,NA,"Always Permit","Yes to Both",1,1,1,1,1,NA,2,1,1,1,0,3,4,0,0,0,1,1,"Evangelical Protestant",0,1.27628458057702,0,0,NA,2,0
"807",1,30,NA,0,2,"Not Available","Not Available",3,0,0,0,0,2,8,NA,NA,1,0,2,2,1,NA,NA,2,1,"Roman Catholic Church",0,0.282300838936377,NA,2,1,8,0
"808",0,65,3,0,5,"Never Permit","No to Both",1,0,0,1,1,4,NA,0,0,0,0,6,2,1,1,1,0,0,"Roman Catholic Church",1,0.510359869827073,2,0,2,NA,0
"810",0,55,3,0,5,"Never Permit","No to Both",1,1,0,1,1,4,3,0,0,1,0,6,3,0,1,1,0,0,"Evangelical Protestant - Ambiguous",1,0.698713712799683,2,0,2,3,1
