"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"945",1,39,3,0,2,"Establish Need","Yes to Civil Unions",4,0,0,0,1,4,8,0,0,1,1,6,3,0,1,1,2,0,"Mainline Protestant",0,0.815481872718944,2,3,2,8,0
"946",1,34,2,0,2,"Always Permit","Yes to Both",4,0,1,0,0,2,8,1,1,0,0,4,3,1,0,0,2,1,"Roman Catholic Church",1,1.26424190185242,1,3,1,8,0
"948",1,62,2,0,2,"Never Permit","DK",3,0,1,0,1,0,4,0,0,1,0,0,5,1,1,0,0,1,"Roman Catholic Church",1,0.585154546710083,1,2,0,4,0
"949",1,62,3,0,1,"DK","DK",4,0,1,0,1,2,2,0,0,1,1,1,4,0,0,0,2,0,"Mainline Protestant",0,0.673579354373157,2,3,1,2,0
"952",0,38,2,0,2,"Standard GOP Exceptions","Yes to Civil Unions",1,0,0,0,0,4,6,1,1,0,0,6,1,1,0,0,2,0,"Roman Catholic Church",1,2.93063382476312,1,0,2,6,0
"957",1,49,NA,0,1,"Not Available","Not Available",2,0,1,0,1,2,NA,NA,NA,1,1,4,4,0,NA,NA,2,1,"Mainline Protestant",0,0.458105544277793,NA,1,1,NA,0
"958",1,63,3,0,4,"Standard GOP Exceptions","Yes to Civil Unions",3,0,0,0,0,3,5,1,1,0,0,6,1,1,0,0,2,1,"Roman Catholic Church",0,1.20406449118456,2,2,2,5,0
"960",1,51,3,0,2,"Establish Need","Yes to Civil Unions",1,0,0,0,1,3,0,1,1,0,0,5,2,1,0,0,0,1,"Roman Catholic Church",0,0.511825100483728,2,0,2,0,0
"961",1,59,2,0,2,"Establish Need","Yes to Both",2,0,1,0,1,2,10,1,1,0,0,1,3,1,0,0,0,1,"Roman Catholic Church",0,0.8970559106757,1,1,1,10,0
"964",1,69,2,0,2,"Establish Need","Yes to Civil Unions",1,0,0,0,0,2,7,1,1,0,0,4,1,1,0,0,2,1,"Roman Catholic Church",0,0.753230108406178,1,0,1,7,0
"965",1,36,3,1,2,"Always Permit","No to Both",1,1,1,0,0,1,4,1,0,1,0,2,4,0,0,1,1,0,"Evangelical Protestant",1,0.940450668198682,2,0,0,4,0
"967",0,58,2,0,4,"Never Permit","No to Both",1,0,0,0,1,3,8,0,0,0,0,6,1,1,1,1,2,0,"Roman Catholic Church",0,0.661694685625831,1,0,2,8,0
"969",1,57,1,0,1,"Always Permit","DK",1,0,1,0,0,0,4,1,0,1,0,0,4,1,0,0,2,1,"Roman Catholic Church",1,0.590103761923478,0,0,0,4,0
"973",0,43,3,0,5,"Never Permit","Yes to Civil Unions",1,0,1,0,1,3,8,0,1,1,0,6,3,1,1,0,0,0,"Roman Catholic Church",0,3.85751939693804,2,0,2,8,0
"976",1,68,2,0,3,"Always Permit","Yes to Both",1,1,1,0,1,2,2,1,1,1,0,1,4,0,0,0,2,1,"Evangelical Protestant",0,1.24582603246311,1,0,1,2,0
"977",0,36,3,0,5,"Never Permit","No to Both",4,1,1,0,1,2,11,0,0,0,0,2,3,0,1,1,2,0,"Evangelical Protestant",1,0.165486478338088,2,3,1,11,0
"978",0,40,3,0,4,"Never Permit","No to Both",4,0,0,0,1,3,5,0,0,0,0,1,2,1,1,1,1,0,"Roman Catholic Church",1,0.458034767575865,2,3,2,5,0
"980",1,39,2,0,2,"Always Permit","Yes to Both",3,0,1,0,1,2,3,1,1,1,0,2,4,1,0,0,2,1,"Roman Catholic Church",0,0.361172304059424,1,2,1,3,0
"983",0,52,NA,0,5,"Not Available","Not Available",1,1,1,0,1,4,1,NA,NA,1,0,5,4,0,NA,NA,1,0,"Evangelical Protestant",1,1.12310072248445,NA,0,2,1,0
"985",0,21,NA,0,3,"Not Available","Not Available",2,0,0,0,0,1,1,NA,NA,1,0,1,1,1,NA,NA,0,0,"Roman Catholic Church",0,3.68898441594571,NA,1,0,1,0
"986",0,27,2,0,3,"Establish Need","Yes to Civil Unions",3,0,1,0,0,2,8,1,1,0,0,2,2,1,0,0,2,1,"Roman Catholic Church",1,1.25095719766876,1,2,1,8,0
"987",0,41,1,0,3,"Standard GOP Exceptions","Yes to Civil Unions",3,0,1,0,0,3,8,1,1,1,0,0,3,1,0,0,1,0,"Roman Catholic Church",1,1.90031451151653,0,2,2,8,0
"991",1,30,2,0,5,"Never Permit","Yes to Civil Unions",4,0,0,0,1,2,5,0,1,1,0,0,3,1,1,0,1,1,"Roman Catholic Church",0,1.23169001996561,1,3,1,5,0
"992",0,57,1,0,1,"Establish Need","Yes to Both",2,0,1,0,0,3,2,0,0,0,1,6,2,0,1,1,2,0,"Mainline Protestant - Ambiguous",1,1.07937292142043,0,1,2,2,1
"994",1,45,0,0,4,"Establish Need","DK",4,1,1,0,0,4,6,1,0,1,0,6,4,0,0,0,2,1,"Evangelical Protestant",1,0.454558519992955,0,3,2,6,0
"997",1,46,NA,1,4,"Not Available","Not Available",1,1,1,0,0,0,4,NA,NA,1,0,0,3,0,NA,NA,2,0,"Evangelical Protestant",0,1.27679174045177,NA,0,0,4,0
"1000",1,28,3,1,1,"DK","DK",1,0,0,1,0,2,0,0,0,1,0,0,3,1,0,0,0,0,"Roman Catholic Church",1,0.457854563898219,2,0,1,0,0
